time,input,setpoint,control_action,system_output
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0
2.3000000000000003,0.0,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0
2.8000000000000003,0.0,0.0,0.0,0.0
2.9000000000000004,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.3000000000000003,0.0,0.0,0.0,0.0
3.4000000000000004,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0
3.8,0.0,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.1000000000000005,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.6000000000000005,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0
4.800000000000001,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.1000000000000005,0.0,0.0,0.0,0.0
5.2,0.0,0.0,0.0,0.0
5.300000000000001,0.0,0.0,0.0,0.0
5.4,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
5.6000000000000005,0.0,0.0,0.0,0.0
5.7,0.0,0.0,0.0,0.0
5.800000000000001,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.1000000000000005,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0
6.300000000000001,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
6.6000000000000005,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0
6.800000000000001,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.1000000000000005,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0
7.300000000000001,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0
7.800000000000001,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0
8.200000000000001,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0
8.700000000000001,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.1,0.0,0.0,0.0,0.0
9.2,0.0,0.0,0.0,0.0
9.3,0.0,0.0,0.0,0.0
9.4,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
9.6,0.0,0.0,0.0,0.0
9.7,0.0,0.0,0.0,0.0
9.8,0.0,0.0,0.0,0.0
9.9,0.0,0.0,0.5366300000000012,0.0
10.0,1.0,1.0,0.21316895516262754,0.0014740973060999461
10.1,1.0,1.0,0.2176397640341739,0.007688505941869171
10.2,1.0,1.0,0.2201797207656078,0.020331185944508365
10.3,1.0,1.0,0.22140897317364588,0.03919670669411133
10.4,1.0,1.0,0.22132914501887635,0.06407071325742437
10.5,1.0,1.0,0.21994407428884322,0.0947321644766061
10.6,1.0,1.0,0.2172603500077591,0.1309538002737113
10.7,1.0,1.0,0.21328725405685087,0.17250262238195527
10.8,1.0,1.0,0.20803670101427124,0.21914038045779918
10.9,1.0,1.0,0.20152317387196347,0.2706240625452348
11.0,1.0,1.0,0.1937636606398666,0.3267063798634876
11.1,1.0,1.0,0.1847775683901272,0.38713628352217877
11.2,1.0,1.0,0.1745866614188109,0.4516594488697502
11.3,1.0,1.0,0.16321497735995538,0.5200187744075293
