Time,Input,Output
0,0,0
0.072536268134067,0,0
0.145072536268134,0,0
0.217608804402201,0,0
0.290145072536268,0,0
0.362681340670335,0,0
0.435217608804402,0,0
0.507753876938469,0,0
0.580290145072536,0,0
0.652826413206603,0,0
0.72536268134067,0,0
0.797898949474737,0,0
0.870435217608804,0,0
0.942971485742872,0,0
1.01550775387694,0,0
1.08804402201101,0,0
1.16058029014507,0,0
1.23311655827914,0,0
1.30565282641321,0,0
1.37818909454727,0,0
1.45072536268134,0,0
1.52326163081541,0,0
1.59579789894947,0,0
1.66833416708354,0,0
1.74087043521761,0,0
1.81340670335168,0,0
1.88594297148574,0,0
1.95847923961981,0,0
2.03101550775388,0,0
2.10355177588794,0,0
2.17608804402201,0,0
2.24862431215608,0,0
2.32116058029015,0,0
2.39369684842421,0,0
2.46623311655828,0,0
2.53876938469235,0,0
2.61130565282641,0,0
2.68384192096048,0,0
2.75637818909455,0,0
2.82891445722861,0,0
2.90145072536268,0,0
2.97398699349675,0,0
3.04652326163082,0,0
3.11905952976488,0,0
3.19159579789895,0,0
3.26413206603302,0,0
3.33666833416708,0,0
3.40920460230115,0,0
3.48174087043522,0,0
3.55427713856929,0,0
3.62681340670335,0,0
3.69934967483742,0,0
3.77188594297149,0,0
3.84442221110555,0,0
3.91695847923962,0,0
3.98949474737369,0,0
4.06203101550775,0,0
4.13456728364182,0,0
4.20710355177589,0,0
4.27963981990996,0,0
4.35217608804402,0,0
4.42471235617809,0,0
4.49724862431216,0,0
4.56978489244622,0,0
4.64232116058029,0,0
4.71485742871436,0,0
4.78739369684842,0,0
4.85992996498249,0,0
4.93246623311656,0,0
5.00500250125063,0,0
5.07753876938469,0,0
5.15007503751876,0,0
5.22261130565283,0,0
5.29514757378689,0,0
5.36768384192096,0,0
5.44022011005503,0,0
5.5127563781891,0,0
5.58529264632316,0,0
5.65782891445723,0,0
5.7303651825913,0,0
5.80290145072536,0,0
5.87543771885943,0,0
5.9479739869935,0,0
6.02051025512756,0,0
6.09304652326163,0,0
6.1655827913957,0,0
6.23811905952977,0,0
6.31065532766383,0,0
6.3831915957979,0,0
6.45572786393197,0,0
6.52826413206603,0,0
6.6008004002001,0,0
6.67333666833417,0,0
6.74587293646823,0,0
6.8184092046023,0,0
6.89094547273637,0,0
6.96348174087044,0,0
7.0360180090045,0,0
7.10855427713857,0,0
7.18109054527264,0,0
7.2536268134067,0,0
7.32616308154077,0,0
7.39869934967484,0,0
7.4712356178089,0,0
7.54377188594297,0,0
7.61630815407704,0,0
7.68884442221111,0,0
7.76138069034517,0,0
7.83391695847924,0,0
7.90645322661331,0,0
7.97898949474737,0,0
8.05152576288144,0,0
8.12406203101551,0,0
8.19659829914957,0,0
8.26913456728364,0,0
8.34167083541771,0,0
8.41420710355178,0,0
8.48674337168584,0,0
8.55927963981991,0,0
8.63181590795398,0,0
8.70435217608804,0,0
8.77688844422211,0,0
8.84942471235618,0,0
8.92196098049025,0,0
8.99449724862431,0,0
9.06703351675838,0,0
9.13956978489245,0,0
